Validation Loss: 0.1413
Validation PSNR: 13.4258
Validation SSIM: 0.0523
Time taken for epoch 1: 48.1163 seconds
----------
epoch 2/100
Step 41/66, Charbonnier Loss: 0.1323, Pixel Loss: 0.1323, Combined Loss: 0.2646, Gradient Norm: 0.0949, Step time: 0.5189 sec
Step 42/66, Charbonnier Loss: 0.1324, Pixel Loss: 0.1324, Combined Loss: 0.2649, Gradient Norm: 0.0679, Step time: 0.5171 sec
Step 43/66, Charbonnier Loss: 0.1327, Pixel Loss: 0.1327, Combined Loss: 0.2654, Gradient Norm: 0.0811, Step time: 0.5217 sec
Step 44/66, Charbonnier Loss: 0.1321, Pixel Loss: 0.1321, Combined Loss: 0.2643, Gradient Norm: 0.0755, Step time: 0.5197 sec
Step 45/66, Charbonnier Loss: 0.1331, Pixel Loss: 0.1331, Combined Loss: 0.2663, Gradient Norm: 0.0666, Step time: 0.5197 sec
Step 46/66, Charbonnier Loss: 0.1336, Pixel Loss: 0.1336, Combined Loss: 0.2673, Gradient Norm: 0.1340, Step time: 0.5186 sec
Step 47/66, Charbonnier Loss: 0.1329, Pixel Loss: 0.1329, Combined Loss: 0.2658, Gradient Norm: 0.3082, Step time: 0.5221 sec
Step 48/66, Charbonnier Loss: 0.1341, Pixel Loss: 0.1341, Combined Loss: 0.2683, Gradient Norm: 0.3544, Step time: 0.5187 sec
Step 49/66, Charbonnier Loss: 0.1331, Pixel Loss: 0.1331, Combined Loss: 0.2663, Gradient Norm: 0.2930, Step time: 0.5203 sec
Step 50/66, Charbonnier Loss: 0.1337, Pixel Loss: 0.1337, Combined Loss: 0.2675, Gradient Norm: 0.1572, Step time: 0.5215 sec
Step 51/66, Charbonnier Loss: 0.1338, Pixel Loss: 0.1338, Combined Loss: 0.2676, Gradient Norm: 0.3709, Step time: 0.5208 sec
Step 52/66, Charbonnier Loss: 0.1325, Pixel Loss: 0.1325, Combined Loss: 0.2651, Gradient Norm: 0.0622, Step time: 0.5248 sec
Step 53/66, Charbonnier Loss: 0.1327, Pixel Loss: 0.1327, Combined Loss: 0.2654, Gradient Norm: 0.2441, Step time: 0.5207 sec
Step 54/66, Charbonnier Loss: 0.1334, Pixel Loss: 0.1334, Combined Loss: 0.2668, Gradient Norm: 0.0515, Step time: 0.5178 sec
Step 55/66, Charbonnier Loss: 0.1316, Pixel Loss: 0.1316, Combined Loss: 0.2631, Gradient Norm: 0.2513, Step time: 0.5205 sec
Step 56/66, Charbonnier Loss: 0.1324, Pixel Loss: 0.1324, Combined Loss: 0.2648, Gradient Norm: 0.0930, Step time: 0.5208 sec
Step 57/66, Charbonnier Loss: 0.1324, Pixel Loss: 0.1324, Combined Loss: 0.2647, Gradient Norm: 0.1581, Step time: 0.5230 sec
Step 58/66, Charbonnier Loss: 0.1342, Pixel Loss: 0.1342, Combined Loss: 0.2684, Gradient Norm: 0.1365, Step time: 0.5286 sec
Step 59/66, Charbonnier Loss: 0.1326, Pixel Loss: 0.1326, Combined Loss: 0.2652, Gradient Norm: 0.1179, Step time: 0.5199 sec
Step 60/66, Charbonnier Loss: 0.1335, Pixel Loss: 0.1335, Combined Loss: 0.2671, Gradient Norm: 0.1855, Step time: 0.5208 sec
Step 61/66, Charbonnier Loss: 0.1324, Pixel Loss: 0.1324, Combined Loss: 0.2648, Gradient Norm: 0.0355, Step time: 0.5210 sec
Step 62/66, Charbonnier Loss: 0.1318, Pixel Loss: 0.1318, Combined Loss: 0.2636, Gradient Norm: 0.1388, Step time: 0.5201 sec
Step 63/66, Charbonnier Loss: 0.1331, Pixel Loss: 0.1331, Combined Loss: 0.2661, Gradient Norm: 0.0824, Step time: 0.5221 sec
Step 64/66, Charbonnier Loss: 0.1332, Pixel Loss: 0.1332, Combined Loss: 0.2664, Gradient Norm: 0.1276, Step time: 0.5179 sec
Step 65/66, Charbonnier Loss: 0.1313, Pixel Loss: 0.1313, Combined Loss: 0.2625, Gradient Norm: 0.1564, Step time: 0.5209 sec
Step 66/66, Charbonnier Loss: 0.1342, Pixel Loss: 0.1342, Combined Loss: 0.2683, Gradient Norm: 0.0612, Step time: 0.2104 sec
Epoch 2 average loss: 0.2679
Validation Loss: 0.1321
Validation PSNR: 13.6857
Validation SSIM: 0.0539
Time taken for epoch 2: 49.2741 seconds
----------
epoch 3/100
Step 1/66, Charbonnier Loss: 0.1321, Pixel Loss: 0.1321, Combined Loss: 0.2642, Gradient Norm: 0.1237, Step time: 0.5221 sec
Step 2/66, Charbonnier Loss: 0.1327, Pixel Loss: 0.1327, Combined Loss: 0.2654, Gradient Norm: 0.0385, Step time: 0.5187 sec
Step 3/66, Charbonnier Loss: 0.1337, Pixel Loss: 0.1337, Combined Loss: 0.2674, Gradient Norm: 0.1253, Step time: 0.5196 sec
Step 4/66, Charbonnier Loss: 0.1318, Pixel Loss: 0.1318, Combined Loss: 0.2637, Gradient Norm: 0.0929, Step time: 0.5218 sec
Step 5/66, Charbonnier Loss: 0.1333, Pixel Loss: 0.1333, Combined Loss: 0.2666, Gradient Norm: 0.0846, Step time: 0.5181 sec
Step 6/66, Charbonnier Loss: 0.1333, Pixel Loss: 0.1333, Combined Loss: 0.2665, Gradient Norm: 0.0856, Step time: 0.5206 sec
Step 7/66, Charbonnier Loss: 0.1322, Pixel Loss: 0.1322, Combined Loss: 0.2644, Gradient Norm: 0.0778, Step time: 0.5205 sec
Step 8/66, Charbonnier Loss: 0.1325, Pixel Loss: 0.1325, Combined Loss: 0.2649, Gradient Norm: 0.1248, Step time: 0.5165 sec
Step 9/66, Charbonnier Loss: 0.1332, Pixel Loss: 0.1332, Combined Loss: 0.2665, Gradient Norm: 0.0493, Step time: 0.5205 sec
Step 10/66, Charbonnier Loss: 0.1341, Pixel Loss: 0.1341, Combined Loss: 0.2682, Gradient Norm: 0.0773, Step time: 0.5195 sec
Step 11/66, Charbonnier Loss: 0.1318, Pixel Loss: 0.1318, Combined Loss: 0.2637, Gradient Norm: 0.0486, Step time: 0.5197 sec
Step 12/66, Charbonnier Loss: 0.1331, Pixel Loss: 0.1331, Combined Loss: 0.2662, Gradient Norm: 0.1064, Step time: 0.5220 sec
Step 13/66, Charbonnier Loss: 0.1326, Pixel Loss: 0.1326, Combined Loss: 0.2652, Gradient Norm: 0.0445, Step time: 0.5208 sec
Step 14/66, Charbonnier Loss: 0.1312, Pixel Loss: 0.1312, Combined Loss: 0.2624, Gradient Norm: 0.0601, Step time: 0.5176 sec
Step 15/66, Charbonnier Loss: 0.1322, Pixel Loss: 0.1322, Combined Loss: 0.2645, Gradient Norm: 0.0545, Step time: 0.5215 sec
Step 16/66, Charbonnier Loss: 0.1319, Pixel Loss: 0.1319, Combined Loss: 0.2638, Gradient Norm: 0.0972, Step time: 0.5202 sec
Step 17/66, Charbonnier Loss: 0.1327, Pixel Loss: 0.1327, Combined Loss: 0.2654, Gradient Norm: 0.0662, Step time: 0.5203 sec
Step 18/66, Charbonnier Loss: 0.1324, Pixel Loss: 0.1324, Combined Loss: 0.2649, Gradient Norm: 0.0416, Step time: 0.5209 sec
Step 19/66, Charbonnier Loss: 0.1322, Pixel Loss: 0.1322, Combined Loss: 0.2645, Gradient Norm: 0.1111, Step time: 0.5206 sec
Step 20/66, Charbonnier Loss: 0.1315, Pixel Loss: 0.1315, Combined Loss: 0.2630, Gradient Norm: 0.0330, Step time: 0.5224 sec
Step 21/66, Charbonnier Loss: 0.1334, Pixel Loss: 0.1334, Combined Loss: 0.2667, Gradient Norm: 0.0739, Step time: 0.5204 sec
Step 22/66, Charbonnier Loss: 0.1333, Pixel Loss: 0.1333, Combined Loss: 0.2667, Gradient Norm: 0.1284, Step time: 0.5219 sec
Step 23/66, Charbonnier Loss: 0.1327, Pixel Loss: 0.1327, Combined Loss: 0.2655, Gradient Norm: 0.0610, Step time: 0.5186 sec
Step 24/66, Charbonnier Loss: 0.1314, Pixel Loss: 0.1314, Combined Loss: 0.2628, Gradient Norm: 0.0333, Step time: 0.5208 sec
Step 25/66, Charbonnier Loss: 0.1304, Pixel Loss: 0.1304, Combined Loss: 0.2608, Gradient Norm: 0.1229, Step time: 0.5209 sec
Step 26/66, Charbonnier Loss: 0.1326, Pixel Loss: 0.1326, Combined Loss: 0.2652, Gradient Norm: 0.1766, Step time: 0.5178 sec
Step 27/66, Charbonnier Loss: 0.1322, Pixel Loss: 0.1322, Combined Loss: 0.2644, Gradient Norm: 0.2266, Step time: 0.5221 sec
Step 28/66, Charbonnier Loss: 0.1328, Pixel Loss: 0.1328, Combined Loss: 0.2656, Gradient Norm: 0.2259, Step time: 0.5198 sec
Step 29/66, Charbonnier Loss: 0.1327, Pixel Loss: 0.1327, Combined Loss: 0.2654, Gradient Norm: 0.1740, Step time: 0.5168 sec
Step 30/66, Charbonnier Loss: 0.1331, Pixel Loss: 0.1331, Combined Loss: 0.2662, Gradient Norm: 0.0504, Step time: 0.5168 sec
Step 31/66, Charbonnier Loss: 0.1310, Pixel Loss: 0.1310, Combined Loss: 0.2620, Gradient Norm: 0.0647, Step time: 0.5165 sec
Step 32/66, Charbonnier Loss: 0.1315, Pixel Loss: 0.1315, Combined Loss: 0.2631, Gradient Norm: 0.1687, Step time: 0.5180 sec
Step 33/66, Charbonnier Loss: 0.1317, Pixel Loss: 0.1317, Combined Loss: 0.2634, Gradient Norm: 0.2082, Step time: 0.5172 sec
Step 34/66, Charbonnier Loss: 0.1318, Pixel Loss: 0.1318, Combined Loss: 0.2637, Gradient Norm: 0.1986, Step time: 0.5176 sec
Step 35/66, Charbonnier Loss: 0.1334, Pixel Loss: 0.1334, Combined Loss: 0.2667, Gradient Norm: 0.1467, Step time: 0.5156 sec
Step 36/66, Charbonnier Loss: 0.1315, Pixel Loss: 0.1315, Combined Loss: 0.2630, Gradient Norm: 0.0989, Step time: 0.5177 sec
Step 37/66, Charbonnier Loss: 0.1333, Pixel Loss: 0.1333, Combined Loss: 0.2667, Gradient Norm: 0.0410, Step time: 0.5188 sec
Step 38/66, Charbonnier Loss: 0.1312, Pixel Loss: 0.1312, Combined Loss: 0.2624, Gradient Norm: 0.0340, Step time: 0.5168 sec
Step 39/66, Charbonnier Loss: 0.1311, Pixel Loss: 0.1311, Combined Loss: 0.2623, Gradient Norm: 0.0726, Step time: 0.5158 sec
Step 40/66, Charbonnier Loss: 0.1308, Pixel Loss: 0.1308, Combined Loss: 0.2616, Gradient Norm: 0.0542, Step time: 0.5154 sec
Step 41/66, Charbonnier Loss: 0.1321, Pixel Loss: 0.1321, Combined Loss: 0.2643, Gradient Norm: 0.0581, Step time: 0.5210 sec
Step 42/66, Charbonnier Loss: 0.1310, Pixel Loss: 0.1310, Combined Loss: 0.2621, Gradient Norm: 0.0316, Step time: 0.5222 sec
Step 43/66, Charbonnier Loss: 0.1305, Pixel Loss: 0.1305, Combined Loss: 0.2610, Gradient Norm: 0.0392, Step time: 0.5222 sec
Step 44/66, Charbonnier Loss: 0.1334, Pixel Loss: 0.1334, Combined Loss: 0.2668, Gradient Norm: 0.0533, Step time: 0.5197 sec
Step 45/66, Charbonnier Loss: 0.1317, Pixel Loss: 0.1317, Combined Loss: 0.2635, Gradient Norm: 0.0843, Step time: 0.5219 sec
Step 46/66, Charbonnier Loss: 0.1330, Pixel Loss: 0.1330, Combined Loss: 0.2660, Gradient Norm: 0.1270, Step time: 0.5203 sec
Step 47/66, Charbonnier Loss: 0.1308, Pixel Loss: 0.1308, Combined Loss: 0.2617, Gradient Norm: 0.2360, Step time: 0.5206 sec
Step 48/66, Charbonnier Loss: 0.1316, Pixel Loss: 0.1316, Combined Loss: 0.2632, Gradient Norm: 0.3737, Step time: 0.5213 sec
Step 49/66, Charbonnier Loss: 0.1319, Pixel Loss: 0.1319, Combined Loss: 0.2639, Gradient Norm: 0.4540, Step time: 0.5206 sec
Step 50/66, Charbonnier Loss: 0.1329, Pixel Loss: 0.1329, Combined Loss: 0.2658, Gradient Norm: 0.5251, Step time: 0.5206 sec
Step 51/66, Charbonnier Loss: 0.1314, Pixel Loss: 0.1314, Combined Loss: 0.2629, Gradient Norm: 0.1677, Step time: 0.5209 sec
Step 52/66, Charbonnier Loss: 0.1311, Pixel Loss: 0.1311, Combined Loss: 0.2622, Gradient Norm: 0.3208, Step time: 0.5210 sec
Step 53/66, Charbonnier Loss: 0.1331, Pixel Loss: 0.1331, Combined Loss: 0.2661, Gradient Norm: 0.4437, Step time: 0.5192 sec
Step 54/66, Charbonnier Loss: 0.1312, Pixel Loss: 0.1312, Combined Loss: 0.2625, Gradient Norm: 0.0336, Step time: 0.5190 sec
Step 55/66, Charbonnier Loss: 0.1321, Pixel Loss: 0.1321, Combined Loss: 0.2642, Gradient Norm: 0.4102, Step time: 0.5204 sec
Step 56/66, Charbonnier Loss: 0.1322, Pixel Loss: 0.1322, Combined Loss: 0.2644, Gradient Norm: 0.1390, Step time: 0.5201 sec
Step 57/66, Charbonnier Loss: 0.1308, Pixel Loss: 0.1308, Combined Loss: 0.2615, Gradient Norm: 0.2965, Step time: 0.5217 sec
Step 58/66, Charbonnier Loss: 0.1319, Pixel Loss: 0.1319, Combined Loss: 0.2637, Gradient Norm: 0.1576, Step time: 0.5183 sec
Step 59/66, Charbonnier Loss: 0.1329, Pixel Loss: 0.1329, Combined Loss: 0.2658, Gradient Norm: 0.2738, Step time: 0.5187 sec
Step 60/66, Charbonnier Loss: 0.1291, Pixel Loss: 0.1291, Combined Loss: 0.2581, Gradient Norm: 0.0842, Step time: 0.5205 sec
Step 61/66, Charbonnier Loss: 0.1318, Pixel Loss: 0.1318, Combined Loss: 0.2636, Gradient Norm: 0.2585, Step time: 0.5203 sec
Step 62/66, Charbonnier Loss: 0.1320, Pixel Loss: 0.1320, Combined Loss: 0.2641, Gradient Norm: 0.0684, Step time: 0.5203 sec
Step 63/66, Charbonnier Loss: 0.1316, Pixel Loss: 0.1316, Combined Loss: 0.2633, Gradient Norm: 0.2474, Step time: 0.5223 sec
Step 64/66, Charbonnier Loss: 0.1316, Pixel Loss: 0.1316, Combined Loss: 0.2632, Gradient Norm: 0.0386, Step time: 0.5192 sec
Step 65/66, Charbonnier Loss: 0.1312, Pixel Loss: 0.1312, Combined Loss: 0.2624, Gradient Norm: 0.1900, Step time: 0.5203 sec
Step 66/66, Charbonnier Loss: 0.1319, Pixel Loss: 0.1319, Combined Loss: 0.2638, Gradient Norm: 0.0813, Step time: 0.2107 sec
Epoch 3 average loss: 0.2642
Validation Loss: 0.1310
Validation PSNR: 13.7289
Validation SSIM: 0.0529
Time taken for epoch 3: 49.4576 seconds
----------
epoch 4/100
Step 1/66, Charbonnier Loss: 0.1310, Pixel Loss: 0.1310, Combined Loss: 0.2621, Gradient Norm: 0.1806, Step time: 0.5228 sec
Step 2/66, Charbonnier Loss: 0.1304, Pixel Loss: 0.1304, Combined Loss: 0.2608, Gradient Norm: 0.1467, Step time: 0.5217 sec
Step 3/66, Charbonnier Loss: 0.1321, Pixel Loss: 0.1321, Combined Loss: 0.2641, Gradient Norm: 0.1137, Step time: 0.5201 sec
Step 4/66, Charbonnier Loss: 0.1323, Pixel Loss: 0.1323, Combined Loss: 0.2646, Gradient Norm: 0.1621, Step time: 0.5202 sec
Step 5/66, Charbonnier Loss: 0.1333, Pixel Loss: 0.1333, Combined Loss: 0.2666, Gradient Norm: 0.0794, Step time: 0.5190 sec
Step 6/66, Charbonnier Loss: 0.1324, Pixel Loss: 0.1324, Combined Loss: 0.2648, Gradient Norm: 0.2035, Step time: 0.5204 sec
Step 7/66, Charbonnier Loss: 0.1319, Pixel Loss: 0.1319, Combined Loss: 0.2637, Gradient Norm: 0.0345, Step time: 0.5200 sec
Step 8/66, Charbonnier Loss: 0.1293, Pixel Loss: 0.1293, Combined Loss: 0.2587, Gradient Norm: 0.1540, Step time: 0.5197 sec
Step 9/66, Charbonnier Loss: 0.1322, Pixel Loss: 0.1322, Combined Loss: 0.2643, Gradient Norm: 0.0483, Step time: 0.5211 sec
Step 10/66, Charbonnier Loss: 0.1327, Pixel Loss: 0.1327, Combined Loss: 0.2653, Gradient Norm: 0.1437, Step time: 0.5214 sec
Step 11/66, Charbonnier Loss: 0.1314, Pixel Loss: 0.1314, Combined Loss: 0.2627, Gradient Norm: 0.0976, Step time: 0.5217 sec
Step 12/66, Charbonnier Loss: 0.1336, Pixel Loss: 0.1336, Combined Loss: 0.2672, Gradient Norm: 0.0996, Step time: 0.5205 sec
